(79, 110, 99, 101)	1712895
(32, 117, 112, 111, 110)	1628280
(32, 97)	15063529
(32, 116, 105, 109, 101)	2158385
(32, 116, 104, 101, 114, 101)	2096034
(32, 119, 97, 115)	10593232
(32, 108, 105, 116, 116, 108, 101)	2335215
(32, 98, 111, 121)	1076463
(32, 110, 97, 109, 101, 100)	2064580
(32, 66, 101, 110)	800813
(46,)	41764510
(32, 108, 111, 118, 101, 100)	1049066
(32, 116, 111)	14903559
(32, 101, 120, 112, 108, 111, 114, 101)	92642
(32, 116, 104, 101)	20828576
(32, 119, 111, 114, 108, 100)	79126
(32, 97, 114, 111, 117, 110, 100)	598251
(32, 104, 105, 109)	1134703
(32, 72, 101)	4840028
(32, 115, 97, 119)	2460060
(32, 109, 97, 110, 121)	513998
(32, 97, 109, 97, 122, 105, 110, 103)	57580
(32, 116, 104, 105, 110, 103, 115)	597863
(44,)	23284330
(32, 108, 105, 107, 101)	870753
(32, 98, 101, 97, 117, 116, 105, 102, 117, 108)	203433
(32, 118, 97, 115, 101, 115)	243
(32, 116, 104, 97, 116)	2466207
(32, 119, 101, 114, 101)	1995318
(32, 111, 110)	2550422
(32, 100, 105, 115, 112, 108, 97, 121)	10257
(32, 105, 110)	3848306
(32, 115, 116, 111, 114, 101)	157527
(32, 79, 110, 101)	887766
(32, 100, 97, 121)	4216755
(32, 119, 97, 108, 107, 105, 110, 103)	123027
(32, 116, 104, 114, 111, 117, 103, 104)	88294
(32, 119, 104, 101, 110)	572008
(32, 104, 101)	3234511
(32, 99, 97, 109, 101)	827901
(32, 97, 99, 114, 111, 115, 115)	35011
(32, 118, 101, 114, 121)	2509817
(32, 115, 112, 101, 99, 105, 97, 108)	282765
(32, 118, 97, 115, 101)	24545
(32, 87, 104, 101, 110)	229115
(32, 105, 116)	5138607
(32, 97, 109, 97, 122, 101, 100)	40724
(33,)	1883362
(32, 32)	2145
(72, 101)	128319
(32, 115, 97, 105, 100)	4370380
(32, 226, 128, 156)	138863
(87, 111, 119)	132066
(32, 105, 115)	1685818
(32, 114, 101, 97, 108, 108, 121)	65317
(32, 67, 97, 110)	154379
(32, 73)	1859001
(32, 98, 117, 121)	92512
(63, 226, 128, 157)	33509
(32,)	760771
(84, 104, 101)	1304712
(32, 115, 104, 111, 112, 107, 101, 101, 112, 101, 114)	6862
(32, 115, 109, 105, 108, 101, 100)	767014
(32, 97, 110, 100)	19475966
(79, 102)	38523
(32, 99, 111, 117, 114, 115, 101)	46856
(32, 121, 111, 117)	2838406
(32, 99, 97, 110)	1225699
(32, 89, 111, 117)	591461
(32, 116, 97, 107, 101)	340487
(32, 104, 111, 109, 101)	694057
(32, 115, 104, 111, 119)	200972
(32, 97, 108, 108)	1661272
(32, 121, 111, 117, 114)	551664
(32, 102, 114, 105, 101, 110, 100, 115)	1912987
(32, 104, 111, 119)	363279
(33, 226, 128, 157)	53429
(83, 111)	102078
(32, 116, 111, 111, 107)	622171
(32, 115, 111)	1794068
(32, 112, 114, 111, 117, 100)	244252
(32, 111, 102)	2541218
(32, 99, 97, 108, 108, 101, 100)	191885
(32, 104, 105, 115)	3781381
(32, 111, 118, 101, 114)	256188
(32, 115, 104, 111, 119, 101, 100)	201338
(32, 116, 104, 101, 109)	1135619
(32, 65, 108, 108)	100886
(32, 116, 104, 111, 117, 103, 104, 116)	679266
(32, 99, 111, 117, 108, 100, 110)	177453
(39, 116)	1147593
(32, 98, 101, 108, 105, 101, 118, 101)	42973
(32, 108, 117, 99, 107, 121)	38553
(65, 110, 100)	25194
(39, 115)	2434613
(32, 102, 111, 117, 110, 100)	1040576
(32, 97, 110)	548964
(32, 114, 101, 108, 105, 97, 98, 108, 101)	18082
(32, 111, 116, 116, 101, 114)	11823
(32, 79, 108, 108, 105, 101)	30693
(32, 108, 105, 118, 101, 100)	584870
(32, 114, 105, 118, 101, 114)	60895
(32, 119, 105, 116, 104)	4208768
(32, 102, 97, 109, 105, 108, 121)	227068
(32, 84, 104, 101, 121)	5226508
(32, 112, 108, 97, 121)	2397432
(32, 115, 119, 105, 109)	71543
(32, 116, 111, 103, 101, 116, 104, 101, 114)	1406927
(79, 110, 101)	1561583
(32, 109, 111, 109)	2131101
(32, 34)	4774529
(79, 108, 108, 105, 101)	3570
(32, 104, 117, 114, 114, 121)	11538
(32, 103, 101, 116)	472220
(32, 115, 111, 109, 101)	561237
(32, 102, 105, 115, 104)	332390
(32, 102, 111, 114)	2171910
(32, 100, 105, 110, 110, 101, 114)	64969
